duration_min,pulse_bpm,max_pulse_bpm,calories,calories_imputed,duration_min_outlier,pulse_bpm_outlier,max_pulse_bpm_outlier,calories_outlier,calories_per_min,duration_min_z,pulse_bpm_z,max_pulse_bpm_z
60,110,130,409.1,0,0,0,0,0,6.82,-0.09757503616583171,0.15615068665081405,-0.25975943967039267
60,117,145,479.0,0,0,0,0,0,7.98,-0.09757503616583171,0.6334414647155657,0.6537216578680334
60,103,135,340.0,0,0,0,0,0,5.67,-0.09757503616583171,-0.3211400914139376,0.04473425950908266
45,109,175,282.4,0,0,0,1,0,6.28,-0.4462622977584361,0.08796628978442096,2.4806838529448854
45,117,148,406.0,0,0,0,0,0,9.02,-0.4462622977584361,0.6334414647155657,0.8364178773757186
60,102,127,300.0,0,0,0,0,0,5.0,-0.09757503616583171,-0.3893244882803307,-0.4424556591780779
60,110,136,374.0,0,0,0,0,0,6.23,-0.09757503616583171,0.15615068665081405,0.10563299934497773
45,104,134,253.3,0,0,0,0,0,5.63,-0.4462622977584361,-0.2529556945475445,-0.016164480326812402
30,109,133,195.1,0,0,0,0,0,6.5,-0.7949495593510405,0.08796628978442096,-0.07706322016270747
60,98,124,269.0,0,0,0,0,0,4.48,-0.09757503616583171,-0.662062075745903,-0.625151878685763
60,103,147,329.3,0,0,0,0,0,5.49,-0.09757503616583171,-0.3211400914139376,0.7755191375398235
60,100,120,250.7,0,0,0,0,0,4.18,-0.09757503616583171,-0.5256932820131169,-0.8687468380293434
60,106,128,345.3,0,0,0,0,0,5.76,-0.09757503616583171,-0.11658690081475832,-0.38155691934218283
60,104,132,379.3,0,0,0,0,0,6.32,-0.09757503616583171,-0.2529556945475445,-0.13796195999860253
60,98,123,275.0,0,0,0,0,0,4.58,-0.09757503616583171,-0.662062075745903,-0.6860506185216582
60,98,120,215.2,0,0,0,0,0,3.59,-0.09757503616583171,-0.662062075745903,-0.8687468380293434
60,100,120,300.0,0,0,0,0,0,5.0,-0.09757503616583171,-0.5256932820131169,-0.8687468380293434
45,90,112,320.4,1,0,0,0,0,7.12,-0.4462622977584361,-1.2075372506770479,-1.355936756716504
60,103,123,323.0,0,0,0,0,0,5.38,-0.09757503616583171,-0.3211400914139376,-0.6860506185216582
45,97,125,243.0,0,0,0,0,0,5.4,-0.4462622977584361,-0.7302464726122961,-0.564253138849868
60,108,131,364.2,0,0,0,0,0,6.07,-0.09757503616583171,0.019781892918027864,-0.1988606998344976
45,100,119,282.0,0,0,0,0,0,6.27,-0.4462622977584361,-0.5256932820131169,-0.9296455778652384
60,130,101,300.0,0,0,1,0,0,5.0,-0.09757503616583171,1.5198386239786759,-2.0258228949113497
45,105,132,246.0,0,0,0,0,0,5.47,-0.4462622977584361,-0.18477129768115141,-0.13796195999860253
60,102,126,334.5,0,0,0,0,0,5.58,-0.09757503616583171,-0.3893244882803307,-0.5033543990139729
60,100,120,250.0,0,0,0,0,0,4.17,-0.09757503616583171,-0.5256932820131169,-0.8687468380293434
60,92,118,241.0,0,0,0,0,0,4.02,-0.09757503616583171,-1.0711684569442617,-0.9905443177011335
60,103,132,320.4,1,0,0,0,0,5.34,-0.09757503616583171,-0.3211400914139376,-0.13796195999860253
60,100,132,280.0,0,0,0,0,0,4.67,-0.09757503616583171,-0.5256932820131169,-0.13796195999860253
60,102,129,380.3,0,0,0,0,0,6.34,-0.09757503616583171,-0.3893244882803307,-0.3206581795062877
60,92,115,243.0,0,0,0,0,0,4.05,-0.09757503616583171,-1.0711684569442617,-1.1732405372088186
45,90,112,180.1,0,0,0,0,0,4.0,-0.4462622977584361,-1.2075372506770479,-1.355936756716504
60,101,124,299.0,0,0,0,0,0,4.98,-0.09757503616583171,-0.4575088851467238,-0.625151878685763
60,93,113,223.0,0,0,0,0,0,3.72,-0.09757503616583171,-1.0029840600778686,-1.2950380168806088
60,107,136,361.0,0,0,0,0,0,6.02,-0.09757503616583171,-0.048402503948365226,0.10563299934497773
60,114,140,415.0,0,0,0,0,0,6.92,-0.09757503616583171,0.4288882741163864,0.349227958688558
45,104,129,266.0,0,0,0,0,0,5.91,-0.4462622977584361,-0.2529556945475445,-0.3206581795062877
60,98,126,286.0,0,0,0,0,0,4.77,-0.09757503616583171,-0.662062075745903,-0.5033543990139729
