duration_min,pulse_bpm,max_pulse_bpm,calories,calories_imputed,duration_min_outlier,pulse_bpm_outlier,max_pulse_bpm_outlier,calories_outlier,calories_per_min
60,110,130,409.1,0,0,0,0,0,6.82
60,117,145,479.0,0,0,0,0,0,7.98
60,103,135,340.0,0,0,0,0,0,5.67
45,109,175,282.4,0,0,0,1,0,6.28
45,117,148,406.0,0,0,0,0,0,9.02
60,102,127,300.0,0,0,0,0,0,5.0
60,110,136,374.0,0,0,0,0,0,6.23
45,104,134,253.3,0,0,0,0,0,5.63
30,109,133,195.1,0,0,0,0,0,6.5
60,98,124,269.0,0,0,0,0,0,4.48
60,103,147,329.3,0,0,0,0,0,5.49
60,100,120,250.7,0,0,0,0,0,4.18
60,106,128,345.3,0,0,0,0,0,5.76
60,104,132,379.3,0,0,0,0,0,6.32
60,98,123,275.0,0,0,0,0,0,4.58
60,98,120,215.2,0,0,0,0,0,3.59
60,100,120,300.0,0,0,0,0,0,5.0
45,90,112,320.4,1,0,0,0,0,7.12
60,103,123,323.0,0,0,0,0,0,5.38
45,97,125,243.0,0,0,0,0,0,5.4
60,108,131,364.2,0,0,0,0,0,6.07
45,100,119,282.0,0,0,0,0,0,6.27
60,130,101,300.0,0,0,1,0,0,5.0
45,105,132,246.0,0,0,0,0,0,5.47
60,102,126,334.5,0,0,0,0,0,5.58
60,100,120,250.0,0,0,0,0,0,4.17
60,92,118,241.0,0,0,0,0,0,4.02
60,103,132,320.4,1,0,0,0,0,5.34
60,100,132,280.0,0,0,0,0,0,4.67
60,102,129,380.3,0,0,0,0,0,6.34
60,92,115,243.0,0,0,0,0,0,4.05
45,90,112,180.1,0,0,0,0,0,4.0
60,101,124,299.0,0,0,0,0,0,4.98
60,93,113,223.0,0,0,0,0,0,3.72
60,107,136,361.0,0,0,0,0,0,6.02
60,114,140,415.0,0,0,0,0,0,6.92
45,104,129,266.0,0,0,0,0,0,5.91
60,98,126,286.0,0,0,0,0,0,4.77
60,100,122,329.4,0,0,0,0,0,5.49
60,111,138,400.0,0,0,0,0,0,6.67
60,111,131,397.0,0,0,0,0,0,6.62
60,99,119,273.0,0,0,0,0,0,4.55
60,109,153,387.6,0,0,0,0,0,6.46
45,111,136,300.0,0,0,0,0,0,6.67
45,108,129,298.0,0,0,0,0,0,6.62
60,111,139,397.6,0,0,0,0,0,6.63
60,107,136,380.2,0,0,0,0,0,6.34
80,123,146,643.1,0,0,0,0,1,8.04
60,106,130,263.0,0,0,0,0,0,4.38
60,118,151,486.0,0,0,0,0,0,8.1
30,136,175,238.0,0,0,1,1,0,7.93
60,121,146,450.7,0,0,0,0,0,7.51
60,118,121,413.0,0,0,0,0,0,6.88
45,115,144,305.0,0,0,0,0,0,6.78
20,153,172,226.4,0,1,1,1,0,11.32
45,123,152,321.0,0,0,0,0,0,7.13
210,108,160,1376.0,0,1,0,0,1,6.55
160,110,137,1034.4,0,1,0,0,1,6.47
160,109,135,853.0,0,1,0,0,1,5.33
45,118,141,341.0,0,0,0,0,0,7.58
20,110,130,131.4,0,1,0,0,0,6.57
180,90,130,800.4,0,1,0,0,1,4.45
150,105,135,873.4,0,1,0,0,1,5.82
150,107,130,816.0,0,1,0,0,1,5.44
20,106,136,110.4,0,1,0,0,0,5.52
300,108,143,1500.2,0,1,0,0,1,5.0
150,97,129,1115.0,0,1,0,0,1,7.43
90,100,127,700.0,0,1,0,0,1,7.78
150,97,127,953.2,0,1,0,0,1,6.35
45,114,146,304.0,0,0,0,0,0,6.76
90,98,125,563.2,0,1,0,0,0,6.26
45,105,134,251.0,0,0,0,0,0,5.58
45,110,141,300.0,0,0,0,0,0,6.67
120,100,130,500.4,0,1,0,0,0,4.17
270,100,131,1729.0,0,1,0,0,1,6.4
30,159,182,319.2,0,0,1,1,0,10.64
45,149,169,344.0,0,0,1,1,0,7.64
30,103,139,151.1,0,0,0,0,0,5.04
120,100,130,500.0,0,1,0,0,0,4.17
45,100,120,225.3,0,0,0,0,0,5.01
30,151,170,300.0,0,0,1,1,0,10.0
45,102,136,234.0,0,0,0,0,0,5.2
120,100,157,1000.1,0,1,0,0,1,8.33
45,129,103,242.0,0,0,1,0,0,5.38
20,83,107,50.3,0,1,1,0,1,2.51
180,101,127,600.1,0,1,0,0,1,3.33
45,107,137,320.4,1,0,0,0,0,7.12
30,90,107,105.3,0,0,0,0,0,3.51
15,80,100,50.5,0,1,1,0,1,3.37
20,150,171,127.4,0,1,1,1,0,6.37
20,151,168,229.4,0,1,1,1,0,11.47
30,95,128,128.2,0,0,0,0,0,4.27
25,152,168,244.2,0,0,1,1,0,9.77
30,109,131,188.2,0,0,0,0,0,6.27
90,93,124,604.1,0,1,0,0,1,6.71
20,95,112,77.7,0,1,0,0,0,3.88
90,90,110,500.0,0,1,0,0,0,5.56
90,90,100,500.0,0,1,0,0,0,5.56
90,90,100,500.4,0,1,0,0,0,5.56
30,92,108,92.7,0,0,0,0,0,3.09
30,93,128,124.0,0,0,0,0,0,4.13
180,90,120,800.3,0,1,0,0,1,4.45
30,90,120,86.2,0,0,0,0,0,2.87
